"survived","pclass","sex","age","sibsp","parch","embarked","fare_per_customer","cabin"
"D",1,0,36,0,0,1,40.13,1
"D",1,0,29.7,0,0,2,52,1
"D",1,0,29.7,0,0,2,26,1
"D",1,0,31,0,0,2,50.5,1
"D",1,0,29.7,0,0,2,50,1
"D",1,0,39,0,0,2,0,1
"D",1,0,71,0,0,1,34.65,1
"D",1,0,56,0,0,1,30.7,1
"D",1,0,29.7,0,0,2,0,1
"D",1,0,61,0,0,2,33.5,1
"D",1,0,70,1,1,2,23.67,1
"D",1,0,65,0,1,1,30.99,1
"D",1,0,58,0,0,1,29.7,1
"D",1,0,45,0,0,2,26.55,1
"D",1,0,31,1,0,2,26,1
"D",1,0,24,0,0,1,79.2,1
"D",1,0,40,0,0,2,0,1
"D",1,0,47,0,0,2,52,1
"D",1,0,30,0,0,1,27.75,1
"D",1,0,37,0,1,1,14.85,1
"D",1,0,37,1,0,2,26.55,1
"D",1,0,45.5,0,0,2,28.5,1
"D",1,0,29.7,0,0,2,26.55,1
"D",1,0,29.7,0,0,2,35,1
"D",1,0,29,1,0,2,33.3,1
"D",1,0,55,0,0,2,30.5,1
"D",1,0,36,1,0,2,39.43,1
"D",1,1,50,0,0,1,28.71,1
"D",1,0,18,1,0,1,54.45,1
"D",1,0,49,1,1,1,36.96,1
"D",1,0,44,2,0,3,30,1
"D",1,0,27,0,2,1,70.5,1
"D",1,0,45,1,0,2,41.74,1
"D",1,0,50,1,0,1,53.21,1
"D",1,0,62,0,0,2,26.55,1
"D",1,0,38,0,1,2,76.73,1
"D",1,0,29.7,0,0,2,221.78,1
"D",2,0,36,0,0,1,12.88,1
"D",1,0,21,0,1,2,38.64,1
"D",1,0,54,0,1,2,38.64,1
"D",1,0,19,1,0,2,26.55,1
"D",1,0,47,0,0,2,34.02,1
"D",1,0,58,0,2,1,37.76,1
"D",1,0,61,0,0,2,32.32,1
"D",1,0,29,0,0,2,30,1
"D",1,0,46,1,0,2,30.59,1
"D",1,0,65,0,0,2,26.55,1
"D",1,0,50,1,0,2,27.95,1
"D",1,0,54,0,0,2,51.86,1
"D",1,0,47,0,0,2,25.59,1
"D",1,0,47,0,0,2,38.5,1
"D",1,0,52,1,1,2,26.55,1
"D",2,1,57,0,0,2,10.5,1
"D",2,0,36.5,0,2,2,8.67,1
"D",3,0,29.7,0,0,3,7.75,1
"D",3,1,2,0,1,2,5.23,1
"D",3,1,29,1,1,2,3.49,1
"D",1,0,45,0,0,2,35.5,1
"D",3,1,14,0,0,2,7.85,0
"D",3,1,31,1,0,2,9,0
"D",3,1,8,3,1,2,4.22,0
"D",3,1,18,2,0,2,6,0
"D",3,1,40,1,0,2,4.74,0
"D",2,1,27,1,0,2,10.5,0
"D",3,1,18,1,0,2,8.9,0
"D",3,1,16,5,2,2,5.86,0
"D",3,1,28,0,0,2,7.9,0
"D",3,1,14.5,1,0,1,7.23,0
"D",3,1,20,1,0,2,4.91,0
"D",3,1,17,0,0,1,14.46,0
"D",3,1,2,4,2,2,4.47,0
"D",3,1,47,1,0,2,7.25,0
"D",3,1,29.7,0,2,1,5.08,0
"D",3,1,9,2,2,2,6.88,0
"D",3,1,45,1,4,2,4.65,0
"D",3,1,29.7,8,2,2,6.32,0
"D",2,1,24,0,0,2,13,0
"D",3,1,29.7,3,1,2,5.09,0
"D",3,1,29.7,0,0,2,7.55,0
"D",3,1,29.7,1,0,1,7.23,0
"D",3,1,25,0,0,2,7.78,0
"D",3,1,41,0,2,2,6.74,0
"D",3,1,29.7,0,0,3,7.75,0
"D",3,1,45,0,0,2,7.75,0
"D",3,1,24,0,0,2,8.85,0
"D",2,1,26,1,1,2,8.67,0
"D",2,1,38,0,0,2,13,0
"D",3,1,45,0,1,1,7.23,0
"D",3,1,3,3,1,2,4.22,0
"D",3,1,31,0,0,2,7.85,0
"D",3,1,21,1,0,2,4.91,0
"D",3,1,20,0,0,2,8.66,0
"D",3,1,29.7,3,1,2,5.09,0
"D",3,1,29.7,0,0,2,8.05,0
"D",3,1,10,0,2,2,8.05,0
"D",3,1,28,1,1,2,4.8,0
"D",3,1,21,2,2,2,6.88,0
"D",3,1,22,0,0,2,9.84,0
"D",3,1,29.7,3,1,2,5.09,0
"D",3,1,21,0,0,3,7.75,0
"D",3,1,29.7,0,0,3,7.63,0
"D",3,1,37,0,0,2,9.59,0
"D",3,1,30,0,0,2,8.66,0
"D",3,1,9,4,2,2,4.47,0
"D",3,1,11,4,2,2,4.47,0
"D",3,1,29.7,0,0,2,8.05,0
"D",3,1,29,0,4,2,4.22,0
"D",3,1,29.7,1,0,1,7.23,0
"D",3,1,29.7,0,2,3,2.58,0
"D",3,1,39,1,5,2,4.47,0
"D",3,1,26,1,0,2,8.05,0
"D",3,1,9,3,2,2,4.65,0
"D",3,1,41,0,5,2,6.61,0
"D",3,1,2,3,2,2,4.65,0
"D",3,1,18,0,0,3,6.75,0
"D",3,1,32,1,1,3,5.17,0
"D",3,1,43,1,6,2,5.86,0
"D",3,1,29.7,0,0,3,8.14,0
"D",3,1,18,0,1,1,7.23,0
"D",3,1,25,1,0,2,3.96,0
"D",3,1,48,1,3,2,6.88,0
"D",3,1,30.5,0,0,3,7.75,0
"D",3,1,29.7,8,2,2,6.32,0
"D",3,1,30,1,1,2,8.05,0
"D",3,1,18,0,0,2,7.78,0
"D",3,1,6,4,2,2,4.47,0
"D",3,1,23,0,0,2,7.93,0
"D",3,1,9,1,1,1,5.08,0
"D",2,1,44,1,0,2,13,0
"D",3,1,29.7,8,2,2,6.32,0
"D",3,1,22,0,0,2,10.52,0
"D",3,1,39,0,5,3,4.85,0
"D",3,1,29.7,1,2,2,5.86,0
"D",3,0,22,1,0,2,3.63,0
"D",3,0,35,0,0,2,8.05,0
"D",3,0,29.7,0,0,3,8.46,0
"D",3,0,2,3,1,2,4.22,0
"D",3,0,20,0,0,2,8.05,0
"D",3,0,39,1,5,2,4.47,0
"D",3,0,2,4,1,3,4.85,0
"D",2,0,35,0,0,2,26,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,29.7,0,0,2,7.9,0
"D",1,0,40,0,0,1,27.72,0
"D",2,0,66,0,0,2,10.5,0
"D",1,0,28,1,0,1,41.09,0
"D",1,0,42,1,0,2,26,0
"D",3,0,21,0,0,2,8.05,0
"D",3,0,29.7,0,0,1,7.9,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,29.7,1,0,3,7.75,0
"D",3,0,29.7,2,0,1,7.23,0
"D",3,0,7,4,1,2,6.61,0
"D",3,0,21,0,0,2,7.8,0
"D",3,0,28.5,0,0,1,7.23,0
"D",3,0,11,5,2,2,5.86,0
"D",3,0,22,0,0,1,7.23,0
"D",3,0,4,3,2,2,4.65,0
"D",1,0,29.7,0,0,1,27.72,0
"D",3,0,19,0,0,2,8.16,0
"D",3,0,26,2,0,2,2.89,0
"D",2,0,32,0,0,2,10.5,0
"D",2,0,21,0,0,2,73.5,0
"D",3,0,26,1,0,1,7.23,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,22,0,0,2,9,0
"D",1,0,28,0,0,2,47.1,0
"D",3,0,16,1,3,2,6.88,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,24,0,0,2,8.05,0
"D",3,0,29,0,0,2,8.05,0
"D",3,0,20,0,0,2,7.85,0
"D",3,0,26,1,2,2,5.14,0
"D",3,0,59,0,0,2,7.25,0
"D",3,0,29.7,0,0,2,8.05,0
"D",2,0,34,1,0,2,13,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,33,0,0,2,8.65,0
"D",3,0,37,2,0,2,2.64,0
"D",3,0,28,0,0,2,7.9,0
"D",3,0,38,0,0,2,7.9,0
"D",3,0,22,0,0,2,8.05,0
"D",3,0,21,0,0,2,7.93,0
"D",3,0,70.5,0,0,3,7.75,0
"D",2,0,29,1,0,2,10.5,0
"D",2,0,21,2,0,2,24.5,0
"D",3,0,29.7,0,0,2,8.05,0
"D",2,0,32.5,1,0,1,15.04,0
"D",3,0,29.7,0,0,3,7.75,0
"D",3,0,45,0,0,2,6.98,0
"D",3,0,33,0,0,1,7.9,0
"D",3,0,20,0,0,2,7.05,0
"D",2,0,25,0,0,2,13,0
"D",2,0,23,0,0,1,15.05,0
"D",3,0,16,0,0,2,9.22,0
"D",3,0,19,0,0,3,6.75,0
"D",2,0,18,0,0,2,11.5,0
"D",2,0,19,1,1,2,12.25,0
"D",2,0,42,0,0,2,13,0
"D",2,0,51,0,0,2,12.53,0
"D",3,0,55.5,0,0,2,8.05,0
"D",3,0,40.5,0,2,2,4.83,0
"D",3,0,29.7,0,0,2,7.31,0
"D",1,0,51,0,1,1,30.69,0
"D",3,0,30,0,0,2,8.05,0
"D",3,0,29.7,0,0,2,8.66,0
"D",3,0,29.7,8,2,2,6.32,0
"D",3,0,44,0,1,2,8.05,0
"D",3,0,26,0,0,2,7.78,0
"D",3,0,17,0,0,2,8.66,0
"D",3,0,1,4,1,2,6.61,0
"D",1,0,29.7,0,0,2,25.93,0
"D",3,0,28,0,0,2,56.5,0
"D",3,0,4,4,1,3,4.85,0
"D",3,0,21,0,0,2,7.93,0
"D",3,0,18,1,1,2,2.62,0
"D",3,0,29.7,3,1,2,5.09,0
"D",2,0,30,0,0,2,13,0
"D",3,0,36,0,0,2,0,0
"D",2,0,29.7,0,0,1,15.05,0
"D",3,0,9,4,2,2,4.48,0
"D",3,0,40,1,1,3,5.17,0
"D",3,0,36,0,0,2,7.9,0
"D",2,0,19,0,0,2,13,0
"D",3,0,29.7,0,0,3,7.75,0
"D",3,0,42,0,1,2,4.2,0
"D",3,0,28,0,0,2,9.5,0
"D",3,0,29.7,8,2,2,6.32,0
"D",3,0,34,0,0,2,6.5,0
"D",3,0,45.5,0,0,1,7.23,0
"D",3,0,32,1,0,2,7.93,0
"D",3,0,24,0,0,2,7.05,0
"D",3,0,22,0,0,2,7.25,0
"D",2,0,30,0,0,2,13,0
"D",3,0,29.7,1,0,3,3.88,0
"D",2,0,42,1,0,2,13.5,0
"D",2,0,30,0,0,2,10.5,0
"D",2,0,27,0,0,2,13,0
"D",3,0,51,0,0,2,8.05,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,22,0,0,2,9.35,0
"D",3,0,20.5,0,0,2,7.25,0
"D",2,0,18,0,0,2,13,0
"D",3,0,29,0,0,2,7.78,0
"D",2,0,59,0,0,2,13.5,0
"D",2,0,24,0,0,2,10.5,0
"D",2,0,44,1,0,2,13,0
"D",2,0,19,0,0,2,10.5,0
"D",2,0,33,0,0,2,12.28,0
"D",2,0,29,0,0,2,10.5,0
"D",3,0,22,0,0,2,7.13,0
"D",3,0,30,0,0,1,7.23,0
"D",2,0,54,1,0,2,13,0
"D",3,0,29.7,0,0,2,7.25,0
"D",3,0,30,1,0,2,8.05,0
"D",3,0,29.7,0,0,3,7.75,0
"D",2,0,36,0,0,2,10.5,0
"D",3,0,16,4,1,2,6.61,0
"D",1,0,29.7,0,0,2,31,0
"D",2,0,29.7,0,0,2,0,0
"D",3,0,7,4,1,3,4.85,0
"D",3,0,65,0,0,3,7.75,0
"D",3,0,28,0,0,2,7.85,0
"D",3,0,16,0,0,2,9.5,0
"D",3,0,33,0,0,1,8.66,0
"D",3,0,22,0,0,2,7.9,0
"D",3,0,24,0,0,2,7.9,0
"D",1,0,29.7,0,0,1,27.72,0
"D",3,0,23.5,0,0,1,7.23,0
"D",3,0,19,0,0,2,0,0
"D",3,0,29.7,0,0,2,8.05,0
"D",2,0,30,1,0,1,12,0
"D",3,0,28,0,0,2,7.9,0
"D",2,0,43,1,1,2,8.75,0
"D",2,0,54,0,0,2,14,0
"D",3,0,22,0,0,2,7.25,0
"D",3,0,27,0,0,2,7.9,0
"D",3,0,29.7,8,2,2,6.32,0
"D",3,0,61,0,0,2,6.24,0
"D",3,0,16,2,0,2,6,0
"D",3,0,29.7,0,0,2,7.9,0
"D",2,0,28,0,0,2,13,0
"D",2,0,25,0,0,2,13,0
"D",2,0,36,0,0,2,13,0
"D",3,0,42,0,0,2,8.66,0
"D",3,0,23,0,0,2,9.23,0
"D",3,0,15,1,1,1,2.41,0
"D",3,0,25,1,0,2,8.9,0
"D",3,0,29.7,0,0,1,7.23,0
"D",3,0,28,0,0,2,9.5,0
"D",3,0,40,1,4,2,4.65,0
"D",2,0,29,1,0,1,13.86,0
"D",3,0,35,0,0,2,7.05,0
"D",3,0,29.7,1,0,3,7.75,0
"D",3,0,30,0,0,2,7.25,0
"D",3,0,18,1,0,2,3.25,0
"D",3,0,19,0,0,2,8.05,0
"D",1,0,22,0,0,1,135.63,0
"D",3,0,20,0,0,1,4.01,0
"D",3,0,19,0,0,2,7.78,0
"D",3,0,32,0,0,2,7.93,0
"D",3,0,29.7,0,0,2,7.9,0
"D",2,0,18,0,0,2,73.5,0
"D",3,0,1,5,2,2,5.86,0
"D",3,0,29.7,0,0,3,7.73,0
"D",3,0,28,2,0,2,2.64,0
"D",3,0,22,0,0,2,7.8,0
"D",2,0,46,0,0,2,26,0
"D",2,0,23,0,0,2,10.5,0
"D",3,0,26,0,0,2,8.05,0
"D",3,0,28,1,0,2,7.93,0
"D",2,0,34,1,0,2,10.5,0
"D",3,0,51,0,0,2,7.75,0
"D",3,0,21,0,0,2,7.78,0
"D",3,0,29.7,0,0,2,7.9,0
"D",3,0,29.7,0,0,3,6.86,0
"D",2,0,29.7,0,0,2,0,0
"D",2,0,30,0,0,2,13,0
"D",3,0,29.7,0,0,1,7.9,0
"D",3,0,21,0,0,3,7.73,0
"D",3,0,29,0,0,2,7.88,0
"D",3,0,18,1,1,2,6.74,0
"D",3,0,29.7,0,0,2,7.25,0
"D",3,0,29.7,0,0,3,7.75,0
"D",3,0,17,0,0,2,7.13,0
"D",2,0,31,0,0,2,10.5,0
"D",3,0,20,0,0,2,9.5,0
"D",3,0,25,1,0,2,3.89,0
"D",2,0,36,1,2,2,6.94,0
"D",3,0,29.7,1,0,2,9.98,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,29.7,0,0,3,7.75,0
"D",3,0,34,0,0,2,8.05,0
"D",2,0,48,0,0,2,13,0
"D",3,0,29.7,0,0,2,8.05,0
"D",3,0,38,0,0,2,7.05,0
"D",2,0,29.7,0,0,2,0,0
"D",1,0,56,0,0,2,26.55,0
"D",3,0,29.7,0,0,3,7.73,0
"D",3,0,29.7,0,0,2,7.25,0
"D",3,0,38,0,0,2,8.66,0
"D",2,0,34,1,0,2,10.5,0
"D",3,0,29,1,0,2,3.52,0
"D",3,0,22,0,0,2,7.52,0
"D",3,0,9,5,2,2,5.86,0
"D",2,0,29.7,0,0,2,0,0
"D",3,0,50,0,0,2,8.05,0
"D",3,0,30,0,0,2,8.05,0
"D",3,0,29.7,1,0,2,9.98,0
"D",3,0,21,0,0,2,7.25,0
"D",1,0,71,0,0,1,49.5,0
