name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
kiruna,2021-01-01T00:00:00,-3,-7.8,-3.2,98.66,0.055,100,snow,0,33.98,18,13.6,94,1014.6,100,2,0,,0,,"Snow, Overcast",snow,"02044099999,ESNQ,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T01:00:00,-3.1,-8,-3.3,99.02,0.022,100,snow,0,33.98,21.6,13.5,100,1015,100,2.7,0,,0,,"Snow, Overcast",snow,"02044099999,ESNQ,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T02:00:00,-3,-7.9,-4,92.89,0.022,100,snow,0,33.98,25.2,13.6,89,1015,100,8.8,0,,0,,"Snow, Overcast",snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T03:00:00,-4,-8.4,-4.6,95.98,0.044,100,snow,0,33.98,32.4,11.2,80,1015,100,9.9,0,,0,,"Snow, Overcast",snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T04:00:00,-4,-7.3,-5,92.75,0.012,100,snow,0,33.98,32.4,7.6,71,1015.3,100,10.5,0,,0,,"Snow, Overcast",snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T05:00:00,-4,-6.8,-5,92.7,0,0,,0,33.98,10.8,6.4,37,1015.7,100,11,0,,0,,Overcast,cloudy,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T06:00:00,-4,-7.9,-5,92.71,0,0,,0,33.98,,9.2,3,1015.7,100,10.9,0,,0,,Overcast,cloudy,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T07:00:00,-4,-8.3,-5,92.71,4.702,100,snow,0,33.98,14.4,10.7,11,1015.7,100,10.9,0,,0,,"Snow, Overcast",snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T08:00:00,-4,-8.2,-5.1,92.71,0,0,,0,33.98,10.8,10.2,10,1015.8,100,10.2,0,,0,,Overcast,cloudy,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T09:00:00,-4.1,-8.4,-5.1,92.71,0,0,,0.01,33.99,18,11,10,1016,100,10.8,0,,0,,Overcast,snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T10:00:00,-4.1,-7.9,-4.1,99.63,0,0,,0.01,34,14.4,9.1,8,1016,100,6.4,0,,0,,Overcast,snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T11:00:00,-4.1,-8.7,-5.1,92.72,0,0,,0.01,34.01,18,11.8,18,1016,100,11.2,0,,0,,Overcast,snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
kiruna,2021-01-01T12:00:00,-4.1,-8.9,-5.1,92.73,0,0,,0.01,34.02,14.4,12.7,18,1015.8,89.2,10.5,0,,0,,Partially cloudy,snow,"ESNQ,02044099999,02038099999,02031099999,02036099999,02029099999"
