Aurora_Label,Kp_index,cloudcover,visibility,clear-day,clear-night,cloudy,fog,partly-cloudy-day,partly-cloudy-night,rain,snow,wind
0,0.333,89.2,10.5,0,0,0,0,0,0,0,1,0
0,0.333,89.2,10.5,0,0,0,0,0,0,0,1,0
0,1.333,89.2,10.9,0,0,0,0,0,0,0,1,0
0,1.333,94.5,11.2,0,0,0,0,0,0,0,1,0
0,1.333,99.9,11.2,0,0,0,0,0,0,0,1,0
0,0.667,99.5,11.2,0,0,0,0,0,0,0,1,0
0,0.667,100.0,9.1,0,0,0,0,0,0,0,1,0
0,0.667,100.0,11.2,0,0,0,0,0,0,0,1,0
0,0.667,100.0,10.3,0,0,0,0,0,0,0,1,0
0,0.667,100.0,10.3,0,0,0,0,0,0,0,1,0
0,0.667,100.0,8.0,0,0,0,0,0,0,0,1,0
0,0.333,100.0,10.3,0,0,0,0,0,0,0,1,0
0,0.333,100.0,10.3,0,0,0,0,0,0,0,1,0
0,0.333,100.0,10.4,0,0,0,0,0,0,0,1,0
0,0.0,100.0,10.2,0,0,0,0,0,0,0,1,0
0,0.0,100.0,10.2,0,0,0,0,0,0,0,1,0
0,0.0,100.0,10.4,0,0,0,0,0,0,0,1,0
0,0.0,100.0,10.3,0,0,0,0,0,0,0,1,0
0,0.0,100.0,10.5,0,0,0,0,0,0,0,1,0
0,0.0,100.0,10.7,0,0,0,0,0,0,0,1,0
0,0.333,100.0,11.4,0,0,0,0,0,0,0,1,0
0,0.333,100.0,11.3,0,0,1,0,0,0,0,0,0
0,0.333,89.2,11.3,0,0,0,0,0,1,0,0,0
0,0.0,89.2,11.3,0,0,0,0,0,1,0,0,0
0,0.0,89.2,10.6,0,0,0,0,1,0,0,0,0
0,0.0,94.5,10.9,0,0,1,0,0,0,0,0,0
0,0.0,100.0,10.8,0,0,1,0,0,0,0,0,0
0,0.0,100.0,10.9,0,0,1,0,0,0,0,0,0
0,0.0,100.0,11.1,0,0,1,0,0,0,0,0,0
0,0.0,99.5,11.2,0,0,1,0,0,0,0,0,0
0,0.0,99.3,11.4,0,0,1,0,0,0,0,0,0
0,0.0,94.5,11.4,0,0,0,0,0,0,0,1,0
0,0.0,88.4,11.4,0,0,0,0,0,1,0,0,0
0,0.0,93.7,11.4,0,0,1,0,0,0,0,0,0
0,0.0,99.2,11.4,0,0,1,0,0,0,0,0,0
0,0.0,99.2,11.4,0,0,1,0,0,0,0,0,0
0,0.0,99.2,11.4,0,0,1,0,0,0,0,0,0
0,0.0,93.9,11.4,0,0,1,0,0,0,0,0,0
0,0.0,99.2,11.4,0,0,1,0,0,0,0,0,0
0,0.0,99.2,11.4,0,0,1,0,0,0,0,0,0
0,0.0,11.5,11.4,0,1,0,0,0,0,0,0,0
0,0.0,0.0,10.6,0,1,0,0,0,0,0,0,0
0,0.0,0.0,11.4,0,1,0,0,0,0,0,0,0
0,0.0,88.4,11.4,0,0,0,0,0,1,0,0,0
0,0.0,93.9,11.4,0,0,1,0,0,0,0,0,0
0,0.0,0.0,11.3,0,1,0,0,0,0,0,0,0
0,0.0,10.0,11.4,0,1,0,0,0,0,0,0,0
0,0.333,0.0,11.1,0,1,0,0,0,0,0,0,0
0,0.333,0.0,11.3,1,0,0,0,0,0,0,0,0
0,0.333,0.0,10.8,0,1,0,0,0,0,0,0,0
1,0.333,0.0,11.4,0,1,0,0,0,0,0,0,0
0,0.333,0.0,11.3,0,1,0,0,0,0,0,0,0
0,0.333,76.1,11.3,0,0,0,0,0,0,0,1,0
0,0.0,56.6,11.3,0,0,0,0,0,1,0,0,0
0,0.0,64.9,11.4,0,0,0,0,0,1,0,0,0
0,0.0,39.0,11.4,0,0,0,0,0,0,0,1,0
0,0.333,0.0,11.4,0,1,0,0,0,0,0,0,0
1,0.333,0.0,11.4,0,1,0,0,0,0,0,0,0
1,0.333,0.0,11.4,0,1,0,0,0,0,0,0,0
0,0.333,0.0,11.4,0,1,0,0,0,0,0,0,0
0,0.333,0.0,11.4,0,1,0,0,0,0,0,0,0
0,0.333,0.4,11.4,0,1,0,0,0,0,0,0,0
0,0.0,1.2,11.4,0,1,0,0,0,0,0,0,0
0,0.0,0.0,11.4,0,1,0,0,0,0,0,0,0
0,0.0,1.2,10.7,0,1,0,0,0,0,0,0,0
0,0.333,1.5,11.4,0,1,0,0,0,0,0,0,0
0,0.333,100.0,11.4,0,0,1,0,0,0,0,0,0
0,0.333,90.1,11.3,0,0,1,0,0,0,0,0,0
0,0.667,29.6,11.4,0,0,0,0,0,1,0,0,0
0,0.667,0.0,11.4,0,1,0,0,0,0,0,0,0
0,0.667,0.4,11.4,0,1,0,0,0,0,0,0,0
0,0.333,1.5,11.4,0,1,0,0,0,0,0,0,0
0,0.333,100.0,11.4,0,0,1,0,0,0,0,0,0
0,0.333,100.0,11.1,0,0,1,0,0,0,0,0,0
0,0.333,12.5,11.1,0,1,0,0,0,0,0,0,0
0,0.333,1.5,11.4,0,1,0,0,0,0,0,0,0
0,0.333,0.9,11.4,0,1,0,0,0,0,0,0,0
0,0.333,100.0,11.3,0,0,1,0,0,0,0,0,0
0,0.333,0.7,10.3,0,1,0,0,0,0,0,0,0
0,0.333,0.9,11.4,0,1,0,0,0,0,0,0,0
0,0.333,0.7,11.4,0,1,0,0,0,0,0,0,0
0,0.333,1.5,11.3,0,1,0,0,0,0,0,0,0
0,0.333,94.5,11.3,0,0,1,0,0,0,0,0,0
1,1.667,94.7,11.1,0,0,1,0,0,0,0,0,0
1,1.667,12.3,11.4,0,1,0,0,0,0,0,0,0
0,1.667,50.7,11.3,0,0,0,0,0,1,0,0,0
0,0.667,71.6,11.4,0,0,0,0,0,1,0,0,0
0,0.667,100.0,11.3,0,0,1,0,0,0,0,0,0
0,0.667,100.0,11.4,0,0,1,0,0,0,0,0,0
0,1.0,100.0,11.4,0,0,1,0,0,0,0,0,0
0,1.0,100.0,11.4,0,0,1,0,0,0,0,0,0
0,1.0,100.0,11.4,0,0,1,0,0,0,0,0,0
0,0.667,100.0,11.4,0,0,1,0,0,0,0,0,0
0,0.667,100.0,11.4,0,0,0,0,0,0,0,1,0
0,0.667,100.0,11.4,0,0,0,0,0,0,0,1,0
0,4.0,100.0,11.4,0,0,0,0,0,0,0,1,0
0,4.0,100.0,11.2,0,0,0,0,0,0,0,1,0
0,4.0,100.0,11.4,0,0,0,0,0,0,0,1,0
1,2.667,100.0,11.2,0,0,0,0,0,0,0,1,0
1,2.667,90.0,11.0,0,0,0,0,0,0,0,1,0
1,2.667,99.9,10.8,0,0,0,0,0,0,0,1,0
0,1.333,100.0,11.4,0,0,0,0,0,0,0,1,0
0,1.333,100.0,11.3,0,0,0,0,0,0,0,1,0
0,1.333,100.0,11.2,0,0,0,0,0,0,0,1,0
0,3.667,100.0,10.0,0,0,0,0,0,0,0,1,0
0,3.667,100.0,10.0,0,0,0,0,0,0,0,1,0
0,3.667,100.0,11.1,0,0,0,0,0,0,0,1,0
1,3.0,100.0,10.8,0,0,0,0,0,0,0,1,0
1,3.0,100.0,11.4,0,0,0,0,0,0,0,1,0
1,3.0,99.6,10.6,0,0,0,0,0,0,0,1,0
1,3.0,41.4,10.5,0,0,0,0,0,0,0,1,0
1,3.0,94.5,11.2,0,0,0,0,0,0,0,1,0
0,3.0,100.0,11.4,0,0,0,0,0,0,0,1,0
0,3.667,100.0,11.4,0,0,0,0,0,0,0,1,0
0,3.667,100.0,11.1,0,0,0,0,0,0,0,1,0
0,3.667,100.0,11.1,0,0,0,0,0,0,0,1,0
0,2.333,100.0,11.4,0,0,0,0,0,0,0,1,0
0,2.333,100.0,10.5,0,0,1,0,0,0,0,0,0
0,2.333,100.0,6.6,0,0,1,0,0,0,0,0,0
0,1.667,100.0,10.1,0,0,1,0,0,0,0,0,0
0,1.667,99.8,8.3,0,0,1,0,0,0,0,0,0
0,1.667,100.0,11.4,0,0,1,0,0,0,0,0,0
0,1.667,100.0,11.4,0,0,1,0,0,0,0,0,0
0,1.667,100.0,10.5,0,0,1,0,0,0,0,0,0
0,1.667,100.0,11.0,0,0,1,0,0,0,0,0,0
0,1.333,100.0,10.3,0,0,1,0,0,0,0,0,0
0,1.333,100.0,10.4,0,0,1,0,0,0,0,0,0
0,1.333,100.0,10.4,0,0,1,0,0,0,0,0,0
0,1.333,100.0,10.5,0,0,1,0,0,0,0,0,0
0,1.333,100.0,10.9,0,0,1,0,0,0,0,0,0
0,1.333,100.0,10.9,0,0,1,0,0,0,0,0,0
1,1.333,100.0,10.3,0,0,1,0,0,0,0,0,0
0,1.333,100.0,11.2,0,0,1,0,0,0,0,0,0
0,1.333,100.0,10.2,0,0,1,0,0,0,0,0,0
1,1.667,62.9,10.8,0,0,0,0,0,1,0,0,0
0,1.667,100.0,10.6,0,0,1,0,0,0,0,0,0
0,1.667,100.0,10.3,0,0,1,0,0,0,0,0,0
0,1.0,100.0,10.1,0,0,1,0,0,0,0,0,0
0,1.0,89.2,9.8,0,0,0,0,0,1,0,0,0
0,1.0,94.5,11.0,0,0,0,0,0,0,0,1,0
0,0.667,94.7,11.0,0,0,1,0,0,0,0,0,0
0,0.667,1.5,3.9,0,0,0,0,0,0,0,1,0
0,0.667,1.5,10.4,0,0,0,0,0,0,0,1,0
0,0.333,1.5,10.5,0,0,0,0,0,0,0,1,0
0,0.333,100.0,10.4,0,0,0,0,0,0,0,1,0
0,0.333,100.0,10.7,0,0,0,0,0,0,0,1,0
1,0.333,60.7,9.8,0,0,0,0,0,0,0,1,0
0,0.333,61.5,10.8,0,0,0,0,0,0,0,1,0
0,0.333,100.0,10.9,0,0,0,0,0,0,0,1,0
0,1.333,26.3,10.9,0,0,0,0,0,0,0,1,0
